_id,Japanese,English
0,ああ,"Ah!, Oh!"
1,あう,"to meet, to see"
2,あお,blue
3,あおい,blue
4,あか,red
5,あかい,red
6,あかるい,"bright, cheerful"
7,あき,"autumn, fall"
8,あく,"to open, to become open"
9,あける,to open
10,あげる,to give
11,あさ,morning
12,あさごはん,breakfast
13,あさって,day after tomorrow
14,あし,"foot, leg"
15,あした,tomorrow
16,あそこ,"there, over there, that place"
17,あそぶ,"to play, to enjoy oneself"
18,あたたかい,"warm, mild"
19,あたま,head
20,あたらしい,new
21,あちら,"there, yonder, that"
22,あつい,"hot, warm"
23,あつい,hot (thing)
24,あつい,"kind, warm(hearted), thick, deep"
25,あっち,over there
26,あと,"afterwards, since then, in the future"
27,あなた,you
28,あに,(hum) older brother
29,あね,(hum) older sister
30,あの,that over there
31,あの,um...
32,アパート,apartment (abbr)
33,あびる,"to bathe, to shower"
34,あぶない,"dangerous, critical, watch out!"
35,あまい,"generous, sweet"
36,あまり,"not very, not much"
37,あめ,rain
38,あめ,"(hard) candy, toffee"
39,あらう,to wash
40,ある [存在],to be
41,ある [所有],to have
42,あるく,to walk
43,あれ,"that, that thing"
44,いい/よい,good
45,いいえ,"no, not at all"
46,いう,to say
47,いえ,"house, family"
48,いかが,"how, in what way"
49,いく/ゆく,to go
50,いくつ,"how many?, how old?"
51,いくら,"how much?, how many?"
52,いけ,pond
53,いしゃ,doctor (medical)
54,いす,chair
55,いそがしい,"busy, irritated"
56,いたい,painful
57,いち,one
58,いちにち,1 day (duration)
59,いちばん,"best, first, number one"
60,いつ,when
61,いつか,"five days, the fifth day (of the month)"
62,いっしょ,together
63,いつつ,five
64,いつも,"always, every time"
65,いぬ,dog
66,いま,now
67,いみ,meaning
68,いもうと,younger sister
69,いや,"disagreeable, no"
70,いりぐち,"entrance, gate"
71,いる,"(hum) to be (animate), to exist"
72,いる,to need
73,いれる,to put in
74,いろ,colour
75,いろいろ,various
76,うえ,"above, on top of"
77,うしろ,"behind, rear"
78,うすい,"thin, weak"
79,うた,song
80,うたう,to sing
81,うち,house (one's own)
82,うまれる,to be born
83,うみ,"sea, beach"
84,うる,to sell
85,うるさい,"noisy, loud, annoying"
86,うわぎ,"coat, jacket"
87,え,"picture, drawing, painting, sketch"
88,えいが,"movie, film"
89,えいがかん,"movie theatre (theater), cinema"
90,えいご,the English language
91,ええ,yes
92,えき,station
93,エレベーター,elevator
94,～えん,yen (currency)
95,えんぴつ,pencil
96,お～,honourable ～ (honorific)
97,おいしい,"delicious, tasty"
98,おおい,many
99,おおきい,big
100,おおきな,big
101,おおぜい,great number of people
102,おかあさん,(hon) mother
103,おかし,"confections, sweets, candy"
104,おかね,money
105,おきる,"to get up, to rise"
106,おく,"to put, to place"
107,おくさん,(hon) wife
108,おさけ,"alcohol, sake (rice wine)"
109,おさら,"plate, dish"
110,おじ・さん,"uncle, middle aged man"
111,おじいさん,"grandfather, male senior citizen"
112,おしえる,"to teach, to inform"
113,おす,"to push, to press"
114,おそい,"late, slow"
115,おちゃ,tea (green)
116,おてあらい,"toilet, lavatory, bathroom"
117,おとうさん,(hon) father
118,おとうと,younger brother
119,おとこ,man
120,おとこのこ,boy
121,おととい,day before yesterday
122,おととし,year before last
123,おとな,adult
124,おなか,stomach
125,おなじ,"same, identical, similar"
126,おにいさん,(hon) older brother
127,おねえさん,(hon) older sister
128,おばさん,aunt
129,おばあさん,"grandmother, female senior-citizen"
130,おふろ,bath
131,おべんとう,boxed lunch
132,おぼえる,"to remember, to memorize"
133,おまわりさん,policeman (friendly term)
134,おもい,heavy
135,おもしろい,"interesting, amusing"
136,およぐ,to swim
137,おりる,"to alight (eg from bus), to get off"
138,おわる,"to finish, to close"
139,おんがく,music
140,おんな,"woman, girl, daughter"
141,おんなのこ,girl
142,～かい,counter for occurrences
143,～かい,counter for storeys of a building
144,がいこく,foreign country
145,がいこくじん,foreigner
146,かいしゃ,"company, corporation"
147,かいだん,stairs
148,かいもの,shopping
149,かう,to buy
150,かえす,to return something
151,かえる,"to go home, to return"
152,かお,face (person)
153,かかる,"to take (eg time, money)"
154,かぎ,key/s
155,かく,to write
156,がくせい,student
157,～かげつ,(number of) months
158,かける,to put on (eg glasses)
159,かける,to dial/call (eg phone)
160,かさ,umbrella
161,かす,to lend
162,かぜ,"wind, breeze"
163,かぜ,"cold, illness"
164,かた,person
165,かぞく,family
166,かたかな,katakana
167,～がつ,month of year
168,がっこう,school
169,カップ,cup
170,かてい,"home, household"
171,かど,corner (e.g. desk)
172,かばん,"bag, basket"
173,かびん,(flower) vase
174,かぶる,"to wear, to put on (head)"
175,かみ,paper
176,カメラ,camera
177,かようび,Tuesday
178,からい,"spicy, salty"
179,からだ,body
180,かりる,"to borrow, to have a loan"
181,～がる,feel
182,かるい,"light, non-serious, minor"
183,カレー,curry
184,カレンダー,calendar
185,かわ,river
186,～がわ,～ side
187,かわいい,"cute, charming"
188,かんじ,"kanji, Chinese character"
189,き,"tree, wood"
190,きいろ,yellow
191,きいろい,yellow
192,きえる,"to go out, to vanish"
193,きく,"to hear, to listen, to ask"
194,きた,north
195,ギター,guitar
196,きたない,"dirty, messy"
197,きっさてん,coffee lounge
198,きって,stamp (eg. postage)
199,きっぷ,ticket
200,きのう,yesterday
201,きゅう,nine
202,ぎゅうにく,beef
203,ぎゅうにゅう,milk
204,きょう,"today, this day"
205,きょうしつ,classroom
206,きょうだい,siblings (brothers and sisters)
207,きょねん,last year
208,きらい,"dislike, hate"
209,きる,"to cut, to chop"
210,きる,"to wear, to put on (from shoulders down)"
211,きれい,"pretty, clean, nice, tidy"
212,キロ/キログラム,kilo (kilogram)
213,キロ/キロメートル,kilo (kilometre)
214,ぎんこう,bank
215,きんようび,Friday
216,く,nine
217,くすり,medicine
218,ください,(with te-form verb) please do for me
219,くだもの,fruit
220,くち,"mouth, orifice, opening"
221,くつ,"shoes, footwear"
222,くつした,socks
223,くに,country
224,くもり,"cloudiness, cloudy weather"
225,くもる,"to become cloudy, to become dim"
226,くらい,"dark, gloomy"
227,～くらい/ぐらい,approximate (quantity)
228,クラス,class
229,グラム,gram
230,くる,to come
231,くるま,"car, vehicle"
232,くろ,black
233,くろい,black
234,けいかん,policeman
235,けさ,this morning
236,けす,"to erase, to delete, to turn off power"
237,けっこう,"nice, enough"
238,けっこん ,marriage
239,げつようび,Monday
240,げんかん,"entrance-way, entry hall"
241,げんき,health
242,～こ,counter for small items
243,ご,five
244,～ご,"word, language"
245,こうえん,(public) park
246,こうさてん,intersection
247,こうちゃ,black tea
248,こうばん,police box
249,こえ,voice
250,コート,coat
251,コーヒー,coffee
252,ここ,"here, this place"
253,ごご,"afternoon, P.M."
254,ここのか,"nine days, the ninth day (of the month)"
255,ここのつ,nine
256,ごぜん,"morning, A.M."
257,こたえる,"to answer, to reply"
258,こちら,"this eg person, way"
259,こっち,"this eg person, way"
260,コップ,cup
261,ことし,this year
262,ことば,word
263,こども,"child, children"
264,この,this
265,ごはん,"rice (cooked), meal"
266,コピー・する,to copy
267,こまる,"to be worried, to be bothered"
268,これ,this
269,～ころ/～ごろ,"about, approximately (time)"
270,こんげつ,this month
271,こんしゅう,this week
272,こんな,"such, like this"
273,こんばん,"tonight, this evening"
274,さあ,"come now, well"
275,～さい,～years-old
276,さいふ,wallet
277,さかな,fish
278,さき,"the future, former, previous"
279,さく,to bloom
280,さくぶん,"composition, writing"
281,さす,"to raise (stretch out) hands, to raise (eg umbrella)"
282,～さつ,counter for books
283,ざっし,magazine
284,さとう,sugar
285,さむい,cold (e.g. weather)
286,さらいねん,year after next
287,～さん,Mr or Mrs
288,さん,three
289,さんぽ ,"walk, stroll"
290,し,four
291,～じ,time (～ O'clock)
292,しお,salt
293,しかし,"however, but"
294,じかん,time
295,～じかん,～hours
296,しごと,"work, occupation, employment"
297,じしょ,dictionary
298,しずか,"quiet, peaceful"
299,した,"under, below, beneath"
300,しち,seven
301,しつもん,"question, inquiry"
302,じてんしゃ,bicycle
303,じどうしゃ,automobile
304,しぬ,to die
305,じびき,dictionary
306,じぶん,"myself, oneself"
307,しまる,"to close, to be closed"
308,しめる,"to close, to shut"
309,しめる,"to tie, to fasten"
310,じゃ/じゃあ,"well, well then"
311,しゃしん,photograph
312,シャツ,"shirt, singlet"
313,シャワー,shower
314,じゅう,ten
315,～じゅう,"during, while"
316,～しゅうかん,～weeks
317,じゅぎょう,"lesson, class work"
318,しゅくだい,homework
319,じょうず,"skill, skillful, dexterity"
320,じょうぶ,"strong, solid, durable"
321,しょうゆ,soy sauce
322,しょくどう,"cafeteria, dining hall"
323,しる,"to know, to understand"
324,しろ,white
325,しろい,white
326,～にん,counter for people
327,しんぶん,newspaper
328,すいようび,Wednesday
329,すう,"to smoke, to breathe in, to suck"
330,スカート,skirt
331,すき,"liking, fondness, love"
332,～すぎ,"to exceed, ～ too much"
333,すくない,"a few, scarce"
334,すぐ・に,"immediately, instantly"
335,すこし,"little, few"
336,すずしい,"cool, refreshing"
337,～ずつ,"at a time, gradually"
338,ストーブ,heater (lit: stove)
339,スプーン,spoon
340,スポーツ,sport
341,ズボン,trousers (fr: jupon)
342,すむ,"to reside, to live in"
343,スリッパ,slippers
344,する,"to do, to try"
345,すわる,to sit
346,せい,"height, stature"
347,せいと,pupil
348,セーター,"sweater, jumper"
349,せっけん,soap
350,せびろ,business suit
351,せまい,"narrow, confined, small"
352,ゼロ,zero
353,せん,"thousand, many"
354,せんげつ,last month
355,せんしゅう,"last week, the week before"
356,せんせい,"teacher, master, doctor"
357,せんたく,"washing, laundry"
358,ぜんぶ,"all, entire, whole"
359,そう/そうです,"appears, to be the case"
360,そうじ ,"cleaning, sweeping"
361,そうして/そして,"and, like that"
362,そこ,"that place, there"
363,そちら,over there
364,そっち,over there
365,そと,"outside, exterior"
366,その,that
367,そば,"near, close, beside"
368,そら,sky
369,それ,"it, that"
370,それから,"and then, after that"
371,それでは,"in that situation, well then..."
372,～だい,counter for vehicles/machines
373,だいがく,university
374,たいしかん,embassy
375,だいじょうぶ,"safe, all right, O.K."
376,だいすき,"very likeable, like very much"
377,たいせつ,important
378,だいどころ,kitchen
379,たいへん,very
380,たいへん,"difficult situation, tough situation"
381,たかい,"tall, high"
382,たかい,expensive
383,～だけ,"only ～, just ～"
384,たくさん,"many, a lot, much"
385,タクシー,taxi
386,だす,"to put out, to send"
387,～たち,plural suffix
388,たつ,to stand
389,たて,"length, height"
390,たてもの,building
391,たのしい,"enjoyable, fun"
392,たのむ,"to request, to ask"
393,たばこ,"tobacco, cigarettes"
394,たぶん,"perhaps, probably"
395,たべもの,food
396,たべる,to eat
397,たまご,egg(s)
398,だれ,who
399,だれか,"someone, somebody"
400,たんじょうび,birthday
401,だんだん,"gradually, by degrees"
402,ちいさい,"small, little"
403,ちいさな,"small, little"
404,ちかい,"near, close by, short"
405,ちがう,to differ (from)
406,ちかく,near
407,ちかてつ,"underground train, subway"
408,ちず,map
409,ちち,(one's own) father
410,ちゃいろ,brown
411,ちゃわん,rice bowl
412,～ちゅう,"during, while ～ing"
413,ちょうど,"just, right, exactly"
414,ちょっと,"a little, somewhat"
415,ついたち,"for one day, first of month"
416,つかう,to use
417,つかれる,"to get tired, to tire"
418,つぎ,next
419,つく,"to arrive at, to reach"
420,つくえ,desk
421,つくる,"to make, to create"
422,つける,to turn on (eg a light)
